sourse_link,code,title,text,image,pub_date,author,tags
https://ria.ru/20210107/pozhar-1592237800.html,1592237800,В Москве четыре человека погибли при пожаре в многоэтажном доме,"МОСКВА, 7 янв — РИА Новости. Четыре человека погибли при пожаре на западе Москвы, сообщили РИА Новости в пресс-службе столичного главка МЧС. Возгорание произошло в квартире на седьмом этаже 22-этажного жилого дома на Беловежской улице. Он уточнил, что пожарным удалось спасти пять человек.",https://cdn23.img.ria.ru/images/07e4/0c/10/1589438465_0:0:2991:2048_1440x900_80_1_1_c4db235bb2a50b5b56ce93b7d99facde.jpg?source-sid=rian_photo,07.01.2021 14:33,,
https://ria.ru/20210107/rpts-1592206119.html,1592206119,Путин поздравил россиян с Рождеством,"МОСКВА, 7 янв — РИА Новости. Президент Владимир Путин поздравил россиян с Рождеством. Глава государства подчеркнул, что Русская православная церковь и другие христианские конфессии уделяют неустанное внимание вопросам нравственного здоровья общества, укрепления института семьи и воспитания подрастающего поколения, а также искренне заботятся о поддержании межнационального и межрелигиозного диалога. ""Эта большая, многогранная работа заслуживает самого глубокого уважения"", — отметил Путин. Всем, кто отмечает праздник Рождества Христова, президент пожелал успехов, благополучия и исполнения желаний. Российский лидер встретил Рождество в Новгородской области в церкви Николы-на-Липне.",https://cdn25.img.ria.ru/images/07e5/01/07/1592206996_0:0:2048:3071_1440x900_80_1_1_01c5f774b761349a859b5e213c22f445.jpg?source-sid=rian_photo,07.01.2021 09:12,,
https://ria.ru/20210107/koronavirus-1592217097.html,1592217097,В России выявили 23 541 новый случай коронавируса,"МОСКВА, 7 янв — РИА Новости. За минувшие сутки в России выявили 23 541 новый случай COVID-19, сообщили журналистам в оперативном штабе по борьбе с распространением инфекции. Умерли за день 506 человек, выписались из больниц 23 729. Новые случаи зарегистрированы во всех 85 регионах, больше всего их в Москве — 4871 (накануне было 5142), Санкт-Петербурге — 3005, Подмосковье — 1228, Нижегородской области — 403, Воронежской — 394, Ростовской — 393, Свердловской — 384, Красноярском крае — 317, Хабаровском — 312, Вологодской области — 307. Меньше всего новых случаев на Чукотке и в Ненецком автономном округе — по три, а в Еврейской автономной области их 13. Накануне сообщалось о 24 217 новых случаях. Темпы прироста за сутки составили 0,7 процента. При этом специалисты связывают снижение заболеваемости по сравнению с концом декабря с меньшим тестированием во время новогодних праздников и предупреждают, что пик эпидемии еще не пройден. Общее число заразившихся с начала эпидемии в России достигло 3 332 142 человека, умерли за все время 60 457 человек, вылечились — 2 709 452. Во всем мире, по последним данным ВОЗ, насчитывается 85 миллионов инфицированных, а по статистике Университета Джонса Хопкинса, их число уже превысило 87 миллионов. Число летальных исходов приближается к 1,9 миллиона. Больше всего заболевших в США — более 20 миллионов, затем следуют Индия и Бразилия. Россия занимает в этом списке четвертое место, опережая Великобританию, Францию, Италию, Испанию, Германию и Колумбию. Актуальные данные о ситуации с COVID-19 в России и мире представлены на портале стопкоронавирус.рф.",https://cdn25.img.ria.ru/images/07e4/0c/08/1588259678_0:0:3122:2048_1440x900_80_1_1_3e43388814f172343ba869d9d4b9c930.jpg?source-sid=rian_photo,07.01.2021 11:16,,
sourse_link,code,title,text,image,pub_date,author,tags
https://ria.ru/20210107/pozhar-1592237800.html,1592237800,В Москве четыре человека погибли при пожаре в многоэтажном доме,"МОСКВА, 7 янв — РИА Новости. Четыре человека погибли при пожаре на западе Москвы, сообщили РИА Новости в пресс-службе столичного главка МЧС. Возгорание произошло в квартире на седьмом этаже 22-этажного жилого дома на Беловежской улице. Он уточнил, что пожарным удалось спасти пять человек.",https://cdn23.img.ria.ru/images/07e4/0c/10/1589438465_0:0:2991:2048_1440x900_80_1_1_c4db235bb2a50b5b56ce93b7d99facde.jpg?source-sid=rian_photo,07.01.2021 14:33,,
https://ria.ru/20210107/rpts-1592206119.html,1592206119,Путин поздравил россиян с Рождеством,"МОСКВА, 7 янв — РИА Новости. Президент Владимир Путин поздравил россиян с Рождеством. Глава государства подчеркнул, что Русская православная церковь и другие христианские конфессии уделяют неустанное внимание вопросам нравственного здоровья общества, укрепления института семьи и воспитания подрастающего поколения, а также искренне заботятся о поддержании межнационального и межрелигиозного диалога. ""Эта большая, многогранная работа заслуживает самого глубокого уважения"", — отметил Путин. Всем, кто отмечает праздник Рождества Христова, президент пожелал успехов, благополучия и исполнения желаний. Российский лидер встретил Рождество в Новгородской области в церкви Николы-на-Липне.",https://cdn25.img.ria.ru/images/07e5/01/07/1592206996_0:0:2048:3071_1440x900_80_1_1_01c5f774b761349a859b5e213c22f445.jpg?source-sid=rian_photo,07.01.2021 09:12,,
https://ria.ru/20210107/koronavirus-1592217097.html,1592217097,В России выявили 23 541 новый случай коронавируса,"МОСКВА, 7 янв — РИА Новости. За минувшие сутки в России выявили 23 541 новый случай COVID-19, сообщили журналистам в оперативном штабе по борьбе с распространением инфекции. Умерли за день 506 человек, выписались из больниц 23 729. Новые случаи зарегистрированы во всех 85 регионах, больше всего их в Москве — 4871 (накануне было 5142), Санкт-Петербурге — 3005, Подмосковье — 1228, Нижегородской области — 403, Воронежской — 394, Ростовской — 393, Свердловской — 384, Красноярском крае — 317, Хабаровском — 312, Вологодской области — 307. Меньше всего новых случаев на Чукотке и в Ненецком автономном округе — по три, а в Еврейской автономной области их 13. Накануне сообщалось о 24 217 новых случаях. Темпы прироста за сутки составили 0,7 процента. При этом специалисты связывают снижение заболеваемости по сравнению с концом декабря с меньшим тестированием во время новогодних праздников и предупреждают, что пик эпидемии еще не пройден. Общее число заразившихся с начала эпидемии в России достигло 3 332 142 человека, умерли за все время 60 457 человек, вылечились — 2 709 452. Во всем мире, по последним данным ВОЗ, насчитывается 85 миллионов инфицированных, а по статистике Университета Джонса Хопкинса, их число уже превысило 87 миллионов. Число летальных исходов приближается к 1,9 миллиона. Больше всего заболевших в США — более 20 миллионов, затем следуют Индия и Бразилия. Россия занимает в этом списке четвертое место, опережая Великобританию, Францию, Италию, Испанию, Германию и Колумбию. Актуальные данные о ситуации с COVID-19 в России и мире представлены на портале стопкоронавирус.рф.",https://cdn25.img.ria.ru/images/07e4/0c/08/1588259678_0:0:3122:2048_1440x900_80_1_1_3e43388814f172343ba869d9d4b9c930.jpg?source-sid=rian_photo,07.01.2021 11:16,,
sourse_link,code,title,text,image,pub_date,author,tags
https://ria.ru/20210107/pozhar-1592237800.html,1592237800,В Москве четыре человека погибли при пожаре в многоэтажном доме,"МОСКВА, 7 янв — РИА Новости. Четыре человека погибли при пожаре на западе Москвы, сообщили РИА Новости в пресс-службе столичного главка МЧС. Возгорание произошло в квартире на седьмом этаже 22-этажного жилого дома на Беловежской улице. Он уточнил, что пожарным удалось спасти пять человек.",https://cdn23.img.ria.ru/images/07e4/0c/10/1589438465_0:0:2991:2048_1440x900_80_1_1_c4db235bb2a50b5b56ce93b7d99facde.jpg?source-sid=rian_photo,07.01.2021 14:33,,
https://ria.ru/20210107/roukhani-1592212229.html?rcmd_alg=slotter,1592212229,"Роухани заявил, что Трамп вверг США в беду","ТЕГЕРАН, 7 янв – РИА Новости. Президент США Дональд Трамп за годы президентства вверг свою страну в беду, заявил иранский президент Хасан Роухани, комментируя события в Вашингтоне. Роухани рассчитывает, что этот пример станет уроком как для других стран, так и для будущих американских руководителей. ""Мы надеемся, что во всем мире и в этой стране (в США) будет меньше такого бедственного явления, как малограмотные люди, несведущие в управлении страной и устремляющиеся лишь к семейным и личным интересам"", - отметил он. В среду сторонники действующего президента США Дональда Трампа, собравшиеся в Вашингтоне на демонстрацию в его поддержку, штурмовали здание конгресса, прервав заседание, которое должно было утвердить итоги прошедших выборов. Правоохранители применили слезоточивый газ и светошумовые гранаты. Согласно данным вашингтонской полиции, в ходе протестов погибли четыре человека. Избранным президентом по итогам прошедшего голосования считается демократ Джо Байден, но Трамп не признает поражения.",https://cdn21.img.ria.ru/images/155874/83/1558748346_0:0:2446:2048_1440x900_80_1_1_56d8c66751a5af97706c2a2c038a03c7.jpg?source-sid=rian_photo,07.01.2021 10:30,,
